MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count_Adj,Left_Poke_Count,Right_Poke_Count_Adj,Right_Poke_Count,Pellet_Count_Adj,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time,Cum_Sum,Percent_Correct
2023-04-01 10:08:11,1.11.0,FR1_R,0,3.85,1,1,Right,Right,0,0,1,1,0,0,0,,,0.54,,
2023-04-01 10:08:27,1.11.0,FR1_R,0,3.84,2,1,RightWithPellet,Right,0,0,2,2,0,0,0,,,0.0,,
2023-04-01 10:08:35,1.11.0,FR1_R,0,3.85,2,1,RightWithPellet,Right,0,0,3,3,0,0,0,,,0.06,,
2023-04-01 10:08:48,1.11.0,FR1_R,0,3.85,2,1,RightWithPellet,Right,0,0,4,4,0,0,0,,,0.16,,
2023-04-01 10:09:53,1.11.0,FR1_R,0,3.84,2,1,RightWithPellet,Right,0,0,5,5,0,0,0,,,0.0,,
2023-04-01 10:10:19,1.11.0,FR1_R,0,3.85,2,1,RightWithPellet,Right,0,0,6,6,0,0,0,,,0.0,,
2023-04-01 10:11:20,1.11.0,FR1_R,0,3.85,2,1,RightWithPellet,Right,0,0,7,7,0,0,0,,,0.06,,
2023-04-01 10:13:52,1.11.0,FR1_R,0,3.85,2,1,Pellet,Right,0,0,1,7,1,1,0,Timed_out,,,0.00487804878048781,1.0
2023-04-01 10:16:59,1.11.0,FR1_R,0,3.85,1,1,Left,Right,1,1,1,7,1,1,0,,,0.04,0.00487804878048781,0.5
2023-04-01 10:17:00,1.11.0,FR1_R,0,3.85,1,1,Left,Right,2,2,1,7,1,1,0,,,0.14,0.00487804878048781,0.333333333333333
2023-04-01 10:17:39,1.11.0,FR1_R,0,3.84,1,1,Right,Right,2,2,2,8,1,1,0,,,0.58,0.00487804878048781,0.5
2023-04-01 10:17:43,1.11.0,FR1_R,0,3.84,1,1,Pellet,Right,2,2,2,8,2,2,0,2.79,231.0,,0.00975609756097561,0.5
2023-04-01 10:21:26,1.11.0,FR1_R,0,3.85,1,1,Right,Right,2,2,3,9,2,2,0,,,0.05,0.00975609756097561,0.6
2023-04-01 10:21:30,1.11.0,FR1_R,0,3.85,1,1,Pellet,Right,2,2,3,9,3,3,0,3.68,227.0,,0.0146341463414634,0.6
2023-04-01 10:26:39,1.11.0,FR1_R,0,3.85,1,1,Left,Right,3,3,3,9,3,3,0,,,0.04,0.0146341463414634,0.5
2023-04-01 10:29:36,1.11.0,FR1_R,0,3.85,1,1,Left,Right,4,4,3,9,3,3,0,,,0.12,0.0146341463414634,0.428571428571429
2023-04-01 10:30:03,1.11.0,FR1_R,0,3.84,1,1,Right,Right,4,4,4,10,3,3,0,,,0.07,0.0146341463414634,0.5
2023-04-01 10:30:07,1.11.0,FR1_R,0,3.85,1,1,Pellet,Right,4,4,4,10,4,4,0,2.86,517.0,,0.0195121951219512,0.5
2023-04-01 10:34:54,1.11.0,FR1_R,0,3.85,1,1,Right,Right,4,4,5,11,4,4,0,,,0.02,0.0195121951219512,0.555555555555556
2023-04-01 10:34:57,1.11.0,FR1_R,0,3.85,1,1,Pellet,Right,4,4,5,11,5,5,0,1.42,289.0,,0.024390243902439,0.555555555555556
2023-04-01 10:44:04,1.11.0,FR1_R,0,3.84,1,1,Right,Right,4,4,6,12,5,5,0,,,0.13,0.024390243902439,0.6
2023-04-01 10:44:08,1.11.0,FR1_R,0,3.85,1,1,Pellet,Right,4,4,6,12,6,6,0,3.88,552.0,,0.0292682926829268,0.6
2023-04-01 10:48:56,1.11.0,FR1_R,0,3.85,1,1,Left,Right,5,5,6,12,6,6,0,,,0.06,0.0292682926829268,0.545454545454545
2023-04-01 10:49:18,1.11.0,FR1_R,0,3.85,1,1,Right,Right,5,5,7,13,6,6,0,,,0.32,0.0292682926829268,0.583333333333333
2023-04-01 10:49:20,1.11.0,FR1_R,0,3.85,1,1,RightWithPellet,Right,5,5,8,14,6,6,0,,,0.05,0.0292682926829268,0.615384615384615
2023-04-01 10:49:20,1.11.0,FR1_R,0,3.84,1,1,RightWithPellet,Right,5,5,9,15,6,6,0,,,0.07,0.0292682926829268,0.642857142857143
2023-04-01 10:49:41,1.11.0,FR1_R,0,3.85,1,1,Pellet,Right,5,5,9,15,7,7,0,22.75,333.0,,0.0341463414634146,0.642857142857143
2023-04-01 10:53:55,1.11.0,FR1_R,0,3.85,1,1,Left,Right,6,6,9,15,7,7,0,,,0.14,0.0341463414634146,0.6
2023-04-01 10:54:43,1.11.0,FR1_R,0,3.85,1,1,Left,Right,7,7,9,15,7,7,0,,,0.0,0.0341463414634146,0.5625
2023-04-01 10:55:08,1.11.0,FR1_R,0,3.85,1,1,Left,Right,8,8,9,15,7,7,0,,,0.02,0.0341463414634146,0.529411764705882
