MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count_Adj,Left_Poke_Count,Right_Poke_Count_Adj,Right_Poke_Count,Pellet_Count_Adj,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time,Cum_Sum,Percent_Correct
2023-03-26 10:13:25,1.11.0,FR1_R,0,4.04,1,1,Right,Right,0,0,1,1,0,0,0,,,0.34,,
2023-03-26 10:18:41,1.11.0,FR1_R,0,4.05,3,1,RightWithPellet,Right,0,0,2,2,0,0,0,,,0.14,,
2023-03-26 10:19:37,1.11.0,FR1_R,0,4.04,3,1,RightWithPellet,Right,0,0,3,3,0,0,0,,,0.11,,
2023-03-26 10:26:24,1.11.0,FR1_R,0,4.04,3,1,LeftWithPellet,Right,1,1,3,3,0,0,0,,,0.31,,
2023-03-26 10:26:27,1.11.0,FR1_R,0,4.04,3,1,LeftWithPellet,Right,2,2,3,3,0,0,0,,,0.45,,
2023-03-26 10:32:32,1.11.0,FR1_R,0,4.04,3,1,RightWithPellet,Right,2,2,4,4,0,0,0,,,0.05,,
2023-03-26 10:44:55,1.11.0,FR1_R,0,4.04,3,1,LeftWithPellet,Right,3,3,4,4,0,0,0,,,0.05,,
2023-03-26 10:44:58,1.11.0,FR1_R,0,4.04,3,1,LeftWithPellet,Right,4,4,4,4,0,0,0,,,0.17,,
2023-03-26 10:44:59,1.11.0,FR1_R,0,4.04,3,1,LeftWithPellet,Right,5,5,4,4,0,0,0,,,0.59,,
2023-03-26 10:45:29,1.11.0,FR1_R,0,4.03,3,1,LeftWithPellet,Right,6,6,4,4,0,0,0,,,0.12,,
2023-03-26 10:45:48,1.11.0,FR1_R,0,4.05,3,1,RightWithPellet,Right,6,6,5,5,0,0,0,,,0.07,,
2023-03-26 10:45:49,1.11.0,FR1_R,0,4.04,3,1,RightWithPellet,Right,6,6,6,6,0,0,0,,,0.0,,
2023-03-26 10:45:59,1.11.0,FR1_R,0,4.04,3,1,RightWithPellet,Right,6,6,7,7,0,0,0,,,0.03,,
2023-03-26 10:46:02,1.11.0,FR1_R,0,4.04,3,1,Pellet,Right,0,6,1,7,1,1,0,Timed_out,,,0.00632911392405063,1.0
2023-03-26 10:49:00,1.11.0,FR1_R,0,4.04,1,1,Right,Right,0,6,2,8,1,1,0,,,0.14,0.00632911392405063,1.0
2023-03-26 10:50:52,1.11.0,FR1_R,0,4.04,1,1,RightWithPellet,Right,0,6,3,9,1,1,0,,,0.05,0.00632911392405063,1.0
2023-03-26 10:54:51,1.11.0,FR1_R,0,4.04,1,1,Pellet,Right,0,6,3,9,2,2,0,Timed_out,529.0,,0.0126582278481013,1.0
2023-03-26 11:04:28,1.11.0,FR1_R,0,4.04,1,1,Right,Right,0,6,4,10,2,2,0,,,0.07,0.0126582278481013,1.0
2023-03-26 11:10:01,1.11.0,FR1_R,0,4.04,1,1,LeftWithPellet,Right,1,7,4,10,2,2,0,,,1.01,0.0126582278481013,0.8
2023-03-26 11:10:02,1.11.0,FR1_R,0,4.04,1,1,LeftWithPellet,Right,2,8,4,10,2,2,0,,,0.49,0.0126582278481013,0.666666666666667
2023-03-26 11:10:03,1.11.0,FR1_R,0,4.04,1,1,LeftWithPellet,Right,3,9,4,10,2,2,0,,,0.39,0.0126582278481013,0.571428571428571
2023-03-26 11:10:06,1.11.0,FR1_R,0,4.04,1,1,LeftWithPellet,Right,4,10,4,10,2,2,0,,,1.27,0.0126582278481013,0.5
2023-03-26 11:10:08,1.11.0,FR1_R,0,4.04,1,1,LeftWithPellet,Right,5,11,4,10,2,2,0,,,0.05,0.0126582278481013,0.444444444444444
2023-03-26 11:10:10,1.11.0,FR1_R,0,4.04,1,1,LeftWithPellet,Right,6,12,4,10,2,2,0,,,0.48,0.0126582278481013,0.4
2023-03-26 11:11:42,1.11.0,FR1_R,0,4.03,1,1,LeftWithPellet,Right,7,13,4,10,2,2,0,,,0.02,0.0126582278481013,0.363636363636364
2023-03-26 11:16:47,1.11.0,FR1_R,0,4.03,1,1,Pellet,Right,7,13,4,10,3,3,0,Timed_out,1316.0,,0.0189873417721519,0.363636363636364
2023-03-26 11:24:53,1.11.0,FR1_R,0,4.03,1,1,Right,Right,7,13,5,11,3,3,0,,,0.57,0.0189873417721519,0.416666666666667
2023-03-26 11:26:15,1.11.0,FR1_R,0,4.03,1,1,RightWithPellet,Right,7,13,6,12,3,3,0,,,0.04,0.0189873417721519,0.461538461538462
2023-03-26 11:26:19,1.11.0,FR1_R,0,4.04,1,1,RightWithPellet,Right,7,13,7,13,3,3,0,,,0.09,0.0189873417721519,0.5
2023-03-26 11:26:45,1.11.0,FR1_R,0,4.03,1,1,Pellet,Right,7,13,7,13,4,4,0,Timed_out,598.0,,0.0253164556962025,0.5
2023-03-26 11:27:20,1.11.0,FR1_R,0,4.03,1,1,Right,Right,7,13,8,14,4,4,0,,,0.1,0.0253164556962025,0.533333333333333
2023-03-26 11:27:37,1.11.0,FR1_R,0,4.05,1,1,LeftWithPellet,Right,8,14,8,14,4,4,0,,,0.54,0.0253164556962025,0.5
2023-03-26 11:27:38,1.11.0,FR1_R,0,4.04,1,1,LeftWithPellet,Right,9,15,8,14,4,4,0,,,0.2,0.0253164556962025,0.470588235294118
2023-03-26 11:28:16,1.11.0,FR1_R,0,4.03,1,1,LeftWithPellet,Right,10,16,8,14,4,4,0,,,0.02,0.0253164556962025,0.444444444444444
2023-03-26 11:28:38,1.11.0,FR1_R,0,4.03,1,1,LeftWithPellet,Right,11,17,8,14,4,4,0,,,0.23,0.0253164556962025,0.421052631578947
2023-03-26 11:29:33,1.11.0,FR1_R,0,4.04,1,1,RightWithPellet,Right,11,17,9,15,4,4,0,,,0.08,0.0253164556962025,0.45
2023-03-26 11:32:49,1.11.0,FR1_R,0,4.04,1,1,Pellet,Right,11,17,9,15,5,5,0,Timed_out,364.0,,0.0316455696202532,0.45
2023-03-26 11:33:39,1.11.0,FR1_R,0,4.03,1,1,Right,Right,11,17,10,16,5,5,0,,,0.04,0.0316455696202532,0.476190476190476
2023-03-26 11:33:59,1.11.0,FR1_R,0,4.05,1,1,Pellet,Right,11,17,10,16,6,6,0,19.43,70.0,,0.0379746835443038,0.476190476190476
2023-03-26 11:39:52,1.11.0,FR1_R,0,4.04,1,1,Right,Right,11,17,11,17,6,6,0,,,0.12,0.0379746835443038,0.5
2023-03-26 11:40:09,1.11.0,FR1_R,0,4.03,1,1,Pellet,Right,11,17,11,17,7,7,0,16.34,370.0,,0.0443037974683544,0.5
2023-03-26 11:45:26,1.11.0,FR1_R,0,4.04,1,1,Right,Right,11,17,12,18,7,7,0,,,0.01,0.0443037974683544,0.521739130434783
