Mouse	Dispense Time (minute)
B11.M1	1.6
B11.M2	9.033
B11.M3	11.15
B11.M4	4.967
B11.M5	1.183
B12.M1	3.133
B12.M2	15.783
B12.M3	0.95
B2.M2	0
B2.M3	0
B2.M4	0
B3.M1	0
B3.M2	0
B3.M3	0
B3.M4	0
B5.M1	4.233
B5.M2	1.433
B5.M3	2.25
B5.M4	6.467
B7.M2	0.35
B7.M3	1.85
B7.M4	1.567
C1.M1	0.0
C1.M2	4.083
C2.M1	0.65
C2.M3	1.45
C3.M4	1.267
C5.M2	7.567
C6.M1	12.783
C6.M4	2.65
C7.M1	31.467
C8.M1	50.583
C8.M4	0.933
C9.M1	17.45
C9.M3	8.7
