Mice,Accuracy
B2M1,55.05882352941176
B2M2,65.32258064516128
B2M3,64.23357664233576
B3M1,84.15841584158416
B3M2,72.1938775510204
B3M3,55.42725173210161
B3M4,42.88025889967638
B5M1,62.272727272727266
B5M2,79.16666666666666
B5M3,80.13029315960912
B5M4,70.23809523809523
B7M2,84.22939068100358
B7M3,71.35922330097088
B7M4,86.28048780487805
