Session_Type,Group,Total_Meals,Low_Accuracy_Meals,High_Accuracy_Meals,Low_Accuracy_Pct,High_Accuracy_Pct
FR1,cask,2107,58,2049,2.7527289985761745,97.24727100142383
FR1,ctrl,2190,75,2115,3.4246575342465753,96.57534246575342
FR1,female,839,51,788,6.0786650774731825,93.92133492252682
FR1,Global,5136,184,4952,3.582554517133956,96.41744548286604
REV,cask,4974,987,3987,19.843184559710494,80.1568154402895
REV,ctrl,4804,797,4007,16.590341382181514,83.40965861781848
REV,female,2876,505,2371,17.55910987482615,82.44089012517385
REV,Global,12654,2289,10365,18.0891417733523,81.9108582266477
