Session_Type,Group,n_sessions,Mean_Pellets_Per_Meal,SD_Pellets_Per_Meal,Median_Pellets_Per_Meal
FR1,cask,31,2.5350601372289496,0.31098268085935654,2.46875
FR1,ctrl,35,2.456629232173457,0.32710204974310014,2.4545454545454546
FR1,female,18,2.1881993483847992,0.12885536195822578,2.1684397163120566
REV,cask,24,2.8778193906239475,0.27690783957777054,2.8733883610071347
REV,ctrl,27,2.6479677303112474,0.31928214104151287,2.632
REV,female,18,2.3937086624946344,0.14706172271261367,2.4172122204037096
