MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count_Adj,Left_Poke_Count,Right_Poke_Count_Adj,Right_Poke_Count,Unnamed: 13,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time,Cum_Sum,Percent_Correct
2023-07-10 08:38:41,1.16.3,FR1_R,0,4.08,,1,Right,Right,,0,,1,,0,0,,,0.05,,
2023-07-10 08:38:41,1.16.3,FR1_R,0,4.08,,1,RightDuringDispense,Right,,0,,2,,0,0,,,0.11,,
2023-07-10 08:39:31,1.16.3,FR1_R,0,4.07,,1,LeftWithPellet,Right,,1,,2,,0,0,,,0.03,,
2023-07-10 08:39:32,1.16.3,FR1_R,0,4.08,3.0,1,Pellet,Right,0.0,1,1.0,2,,1,0,45.99,,,0.00467289719626168,1.0
2023-07-10 08:56:33,1.16.3,FR1_R,0,4.08,,1,Left,Right,1.0,2,1.0,2,,1,0,,,0.11,0.00467289719626168,0.5
2023-07-10 09:10:02,1.16.3,FR1_R,0,4.08,,1,Left,Right,2.0,3,1.0,2,,1,0,,,0.03,0.00467289719626168,0.333333333333333
2023-07-10 09:11:13,1.16.3,FR1_R,0,4.08,,1,Left,Right,3.0,4,1.0,2,,1,0,,,0.23,0.00467289719626168,0.25
2023-07-10 09:11:21,1.16.3,FR1_R,0,4.07,,1,Right,Right,3.0,4,2.0,3,,1,0,,,0.42,0.00467289719626168,0.4
2023-07-10 09:11:21,1.16.3,FR1_R,0,4.07,,1,RightDuringDispense,Right,3.0,4,3.0,4,,1,0,,,0.01,0.00467289719626168,0.5
2023-07-10 09:12:29,1.16.3,FR1_R,0,4.07,2.0,1,Pellet,Right,3.0,4,3.0,4,,2,0,Timed_out,1977.0,,0.00934579439252336,0.5
2023-07-10 09:15:54,1.16.3,FR1_R,0,4.07,,1,Right,Right,3.0,4,4.0,5,,2,0,,,0.04,0.00934579439252336,0.571428571428571
2023-07-10 09:15:58,1.16.3,FR1_R,0,4.07,,1,LeftWithPellet,Right,4.0,5,4.0,5,,2,0,,,0.21,0.00934579439252336,0.5
2023-07-10 09:15:59,1.16.3,FR1_R,0,4.08,1.0,1,Pellet,Right,4.0,5,4.0,5,,3,0,4.54,210.0,,0.0140186915887851,0.5
2023-07-10 09:16:28,1.16.3,FR1_R,0,4.08,,1,Left,Right,5.0,6,4.0,5,,3,0,,,0.8,0.0140186915887851,0.444444444444444
