Cohort,Mouse ID,Treatment,Day,Weight
1,M8,sal,Day 9,28.7
1,M9,fen,Day 9,24.7
1,M10,sal,Day 9,26.5
2,M11,fen,Day 9,27
2,M12,sal,Day 9,26.5
2,M13,fen,Day 9,23.3
2,M14,sal,Day 9,26.4
2,M15,fen,Day 9,23.6
2,M16,sal,Day 9,28.6
2,M17,fen,Day 9,21.8
2,M18,sal,Day 9,26
2,M19,fen,Day 9,28.4
2,M20,sal,Day 9,25.9
1,M1,fen,Day 10,25.1
1,M2,sal,Day 10,26
1,M3,fen,Day 10,27.7
1,M4,sal,Day 10,25.8
1,M5,fen,Day 10,25.1
1,M6,sal,Day 10,25.4
1,M7,fen,Day 10,23.6
1,M8,sal,Day 10,25.8
1,M9,fen,Day 10,24.2
1,M10,sal,Day 10,26.5
2,M11,fen,Day 10,27.4
2,M12,sal,Day 10,28.1
2,M13,fen,Day 10,24.4
2,M14,sal,Day 10,27
2,M15,fen,Day 10,27.3
2,M16,sal,Day 10,27.9
2,M17,fen,Day 10,25.6
2,M18,sal,Day 10,26.6
2,M19,fen,Day 10,29.1
2,M20,sal,Day 10,26.7
1,M1,fen,Day 11,24.4
1,M2,sal,Day 11,25.5
1,M3,fen,Day 11,26.3
1,M4,sal,Day 11,25.7
1,M5,fen,Day 11,25
1,M6,sal,Day 11,25.6
1,M7,fen,Day 11,23.3
1,M8,sal,Day 11,28
1,M9,fen,Day 11,24.2
1,M10,sal,Day 11,26.6
2,M11,fen,Day 11,27.4
2,M12,sal,Day 11,27.8
2,M13,fen,Day 11,24.6
2,M14,sal,Day 11,26.9
2,M15,fen,Day 11,27.5
2,M16,sal,Day 11,28.4
2,M17,fen,Day 11,26.1
2,M18,sal,Day 11,26.6
2,M19,fen,Day 11,28.6
2,M20,sal,Day 11,26.3
