MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count_Adj,Left_Poke_Count,Right_Poke_Count_Adj,Right_Poke_Count,Unnamed: 13,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time,Cum_Sum,Percent_Correct
2023-07-10 08:05:22,1.16.3,FR1,0,4.08,,1,Right,Left,,0,,1,,0,0,,,0.21,,
2023-07-10 08:41:19,1.16.3,FR1,0,4.07,,1,Left,Left,,1,,1,,0,0,,,0.04,,
2023-07-10 08:41:20,1.16.3,FR1,0,4.07,,1,LeftDuringDispense,Left,,2,,1,,0,0,,,0.11,,
2023-07-10 08:43:26,1.16.3,FR1,0,4.07,,1,LeftWithPellet,Left,,3,,1,,0,0,,,0.09,,
2023-07-10 08:45:18,1.16.3,FR1,0,4.07,4.0,1,Pellet,Left,1.0,3,0.0,1,,1,0,Timed_out,,,0.00411522633744856,1.0
2023-07-10 09:00:03,1.16.3,FR1,0,4.07,,1,Right,Left,1.0,3,1.0,2,,1,0,,,0.56,0.00411522633744856,0.5
2023-07-10 09:02:29,1.16.3,FR1,0,4.07,,1,Left,Left,2.0,4,1.0,2,,1,0,,,0.33,0.00411522633744856,0.666666666666667
2023-07-10 09:03:52,1.16.3,FR1,0,4.07,,1,LeftWithPellet,Left,3.0,5,1.0,2,,1,0,,,0.03,0.00411522633744856,0.75
2023-07-10 09:05:23,1.16.3,FR1,0,4.07,2.0,1,Pellet,Left,3.0,5,1.0,2,,2,0,Timed_out,1206.0,,0.00823045267489712,0.75
2023-07-10 09:06:42,1.16.3,FR1,0,4.08,,1,Right,Left,3.0,5,2.0,3,,2,0,,,0.56,0.00823045267489712,0.6
2023-07-10 09:06:44,1.16.3,FR1,0,4.07,,1,Right,Left,3.0,5,3.0,4,,2,0,,,0.09,0.00823045267489712,0.5
2023-07-10 09:06:47,1.16.3,FR1,0,4.07,,1,Right,Left,3.0,5,4.0,5,,2,0,,,0.41,0.00823045267489712,0.428571428571429
2023-07-10 09:11:52,1.16.3,FR1,0,4.07,,1,Right,Left,3.0,5,5.0,6,,2,0,,,0.02,0.00823045267489712,0.375
2023-07-10 09:12:13,1.16.3,FR1,0,4.07,,1,Right,Left,3.0,5,6.0,7,,2,0,,,0.23,0.00823045267489712,0.333333333333333
2023-07-10 09:12:14,1.16.3,FR1,0,4.07,,1,Right,Left,3.0,5,7.0,8,,2,0,,,0.32,0.00823045267489712,0.3
2023-07-10 09:12:20,1.16.3,FR1,0,4.07,,1,Right,Left,3.0,5,8.0,9,,2,0,,,0.0,0.00823045267489712,0.272727272727273
2023-07-10 09:14:12,1.16.3,FR1,0,4.06,,1,Left,Left,4.0,6,8.0,9,,2,0,,,0.06,0.00823045267489712,0.333333333333333
2023-07-10 09:14:35,1.16.3,FR1,0,4.07,1.0,1,Pellet,Left,4.0,6,8.0,9,,3,0,22.15,552.0,,0.0123456790123457,0.333333333333333
2023-07-10 09:14:55,1.16.3,FR1,0,4.07,,1,Right,Left,4.0,6,9.0,10,,3,0,,,0.11,0.0123456790123457,0.307692307692308
2023-07-10 09:16:21,1.16.3,FR1,0,4.07,,1,Left,Left,5.0,7,9.0,10,,3,0,,,0.02,0.0123456790123457,0.357142857142857
2023-07-10 09:16:22,1.16.3,FR1,0,4.07,1.0,1,Pellet,Left,5.0,7,9.0,10,,4,0,0.06,107.0,,0.0164609053497942,0.357142857142857
2023-07-10 09:19:27,1.16.3,FR1,0,4.07,,1,Left,Left,6.0,8,9.0,10,,4,0,,,0.19,0.0164609053497942,0.4
2023-07-10 09:20:09,1.16.3,FR1,0,4.07,1.0,1,Pellet,Left,6.0,8,9.0,10,,5,0,41.64,227.0,,0.0205761316872428,0.4
